,venue,innings,batting_team,bowling_team,striker,bowler,total_runs
0,M Chinnaswamy Stadium,50,Kolkata Knight Riders,Royal Challengers Bangalore,23.855,10.057,61
1,M Chinnaswamy Stadium,100,Royal Challengers Bangalore,Kolkata Knight Riders,48.809,8.47,26
2,"Punjab Cricket Association Stadium, Mohali",50,Chennai Super Kings,Punjab Kings,32.049,4.189,53
3,"Punjab Cricket Association Stadium, Mohali",100,Punjab Kings,Chennai Super Kings,18.193,2.306,63
4,Feroz Shah Kotla,50,Rajasthan Royals,Delhi Daredevils,33.551,2.32,40
5,Feroz Shah Kotla,100,Delhi Daredevils,Rajasthan Royals,35.018,7.21,55
6,Wankhede Stadium,50,Mumbai Indians,Royal Challengers Bangalore,40.514,11.997,47
7,Wankhede Stadium,100,Royal Challengers Bangalore,Mumbai Indians,26.171,10.008,40
8,Eden Gardens,50,Deccan Chargers,Kolkata Knight Riders,33.754,8.47,39
9,Eden Gardens,100,Kolkata Knight Riders,Deccan Chargers,46.445,5.372,26
10,Sawai Mansingh Stadium,50,Punjab Kings,Rajasthan Royals,28.143,7.21,54
11,Sawai Mansingh Stadium,100,Rajasthan Royals,Punjab Kings,58.034,4.189,53
12,"Rajiv Gandhi International Stadium, Uppal",50,Deccan Chargers,Delhi Daredevils,33.754,1.365,25
13,"Rajiv Gandhi International Stadium, Uppal",100,Delhi Daredevils,Deccan Chargers,35.018,5.185,48
14,"MA Chidambaram Stadium, Chepauk",50,Chennai Super Kings,Mumbai Indians,43.746,10.008,53
15,"MA Chidambaram Stadium, Chepauk",100,Mumbai Indians,Chennai Super Kings,32.37,2.306,52
16,"Rajiv Gandhi International Stadium, Uppal",50,Deccan Chargers,Rajasthan Royals,43.539,8.008,58
17,"Rajiv Gandhi International Stadium, Uppal",100,Rajasthan Royals,Deccan Chargers,34.294,5.975,73
18,"Punjab Cricket Association Stadium, Mohali",50,Punjab Kings,Mumbai Indians,28.375,10.008,60
19,"Punjab Cricket Association Stadium, Mohali",100,Mumbai Indians,Punjab Kings,42.663,7.344,39
20,M Chinnaswamy Stadium,50,Royal Challengers Bangalore,Rajasthan Royals,35.407,7.102,57
21,M Chinnaswamy Stadium,100,Rajasthan Royals,Royal Challengers Bangalore,31.214,13.314,45
22,"MA Chidambaram Stadium, Chepauk",50,Kolkata Knight Riders,Chennai Super Kings,46.445,2.406,61
23,"MA Chidambaram Stadium, Chepauk",100,Chennai Super Kings,Kolkata Knight Riders,22.014,8.47,45
